"male","hh_ID","rooms","males_tot","age","ppl_total","num_child","bedrooms","dependency_rate","computer","disabled_ppl","water_inside","years_of_schooling","Target"
"1","21eb7fcc1",3,1,43,1,0,1,30,"0","0","1",10,"4"
"1","0e5d7a658",4,1,67,1,0,1,29,"0","0","1",12,"4"
"0","2c7317ea8",8,0,92,1,0,2,29,"0","1","1",11,"4"
"1","2b58d945f",5,2,17,4,2,3,31,"0","0","1",9,"4"
"0","2b58d945f",5,2,37,4,2,3,31,"0","0","1",11,"4"
"1","2b58d945f",5,2,38,4,2,3,31,"0","0","1",11,"4"
"0","2b58d945f",5,2,8,4,2,3,31,"0","0","1",2,"4"
"0","d6dae86b7",2,1,7,4,2,1,31,"0","0","1",0,"4"
"1","d6dae86b7",2,1,30,4,2,1,31,"0","0","1",9,"4"
"0","d6dae86b7",2,1,28,4,2,1,31,"0","0","1",11,"4"
"0","d6dae86b7",2,1,11,4,2,1,31,"0","0","1",3,"4"
"0","bb2094100",3,0,18,2,1,2,31,"0","0","1",12,"4"
"0","bb2094100",3,0,34,2,1,2,31,"0","0","1",11,"4"
"0","c51f9c774",4,1,79,2,0,2,31,"0","0","1",4,"4"
"1","c51f9c774",4,1,39,2,0,2,31,"0","0","1",15,"4"
"1","6893e65ca",2,2,19,4,2,1,24,"0","0","1",11,"4"
"1","6893e65ca",2,2,70,4,2,1,24,"0","0","1",2,"4"
"0","6893e65ca",2,2,19,4,2,1,24,"0","0","1",11,"4"
"0","6893e65ca",2,2,50,4,2,1,24,"0","0","1",10,"4"
"0","d29058053",4,1,22,2,0,2,30,"0","0","1",12,"4"
"1","d29058053",4,1,26,2,0,2,30,"0","0","1",15,"4"
"1","ec0e8edce",3,1,69,2,0,1,29,"0","0","1",4,"4"
"0","ec0e8edce",3,1,66,2,0,1,29,"0","0","1",16,"4"
"1","3e16fab89",1,2,41,3,0,1,30,"0","0","0",6,"4"
"1","3e16fab89",1,2,20,3,0,1,30,"0","0","0",13,"4"
"0","3e16fab89",1,2,40,3,0,1,30,"0","0","0",12,"4"
"1","1e84a2ac8",5,1,44,1,0,2,30,"0","0","1",15,"4"
"1","759df0194",4,2,69,3,0,2,8,"0","0","1",6,"4"
"0","759df0194",4,2,62,3,0,2,8,"0","0","1",6,"4"
"1","759df0194",4,2,33,3,0,2,8,"0","0","1",8,"4"
"1","f2fcf00fd",5,1,35,2,0,2,30,"0","0","1",8,"4"
"0","f2fcf00fd",5,1,28,2,0,2,30,"0","0","1",11,"4"
"1","cb6bb28dd",5,4,28,5,1,3,4,"0","0","1",1,"4"
"1","cb6bb28dd",5,4,56,5,1,3,4,"0","0","1",11,"4"
"1","cb6bb28dd",5,4,30,5,1,3,4,"0","0","1",6,"4"
"1","cb6bb28dd",5,4,19,5,1,3,4,"0","0","1",0,"4"
"0","cb6bb28dd",5,4,52,5,1,3,4,"0","0","1",3,"4"
"0","cbf24a06c",4,2,36,3,1,2,8,"0","0","1",6,"4"
"1","cbf24a06c",4,2,15,3,1,2,8,"0","0","1",8,"4"
"1","cbf24a06c",4,2,37,3,1,2,8,"0","0","1",8,"4"
"0","922a1f87a",5,1,44,2,0,2,30,"0","0","1",9,"4"
"1","922a1f87a",5,1,24,2,0,2,30,"0","0","1",13,"4"
"1","a57a1f2f4",8,2,15,3,1,3,21,"1","0","1",8,"4"
"0","a57a1f2f4",8,2,76,3,1,3,21,"1","0","1",15,"4"
"1","a57a1f2f4",8,2,44,3,1,3,21,"1","0","1",16,"4"
"1","9b084b23d",4,1,69,2,0,2,29,"0","0","1",17,"4"
"0","9b084b23d",4,1,94,2,0,2,29,"0","1","1",3,"4"
"0","6ddd55b3e",5,1,45,3,1,2,8,"0","0","1",16,"4"
"0","6ddd55b3e",5,1,8,3,1,2,8,"0","0","1",2,"4"
"1","6ddd55b3e",5,1,48,3,1,2,8,"0","0","1",11,"4"
"0","652a7ffa0",5,1,8,4,2,2,31,"0","0","1",2,"2"
"0","652a7ffa0",5,1,44,4,2,2,31,"0","0","1",11,"2"
"0","652a7ffa0",5,1,14,4,2,2,31,"0","0","1",8,"2"
"1","652a7ffa0",5,1,42,4,2,2,31,"0","0","1",11,"2"
"1","b9d64d752",5,2,13,4,2,3,31,"0","0","1",6,"4"
"1","b9d64d752",5,2,10,4,2,3,31,"0","0","1",2,"4"
"0","b9d64d752",5,2,37,4,2,3,31,"0","0","1",7,"4"
"0","b9d64d752",5,2,36,4,2,3,31,"0","0","1",11,"4"
"1","09a26c158",1,1,71,1,0,1,29,"0","0","0",7,"2"
"0","e2f9717d3",3,1,30,2,0,1,30,"0","0","1",14,"4"
"1","e2f9717d3",3,1,29,2,0,1,30,"0","0","1",6,"4"
"0","65d20b573",6,2,55,3,0,3,8,"1","0","1",14,"4"
"1","65d20b573",6,2,70,3,0,3,8,"1","0","1",11,"4"
"1","65d20b573",6,2,26,3,0,3,8,"1","0","1",14,"4"
"0","d9281c805",6,0,71,1,0,3,29,"0","0","1",9,"2"
"0","5f7699c70",3,2,30,5,2,2,10,"0","0","1",9,"4"
"1","5f7699c70",3,2,11,5,2,2,10,"0","0","1",5,"4"
"0","5f7699c70",3,2,1,5,2,2,10,"0","0","1",0,"4"
"1","5f7699c70",3,2,29,5,2,2,10,"0","0","1",9,"4"
"0","5f7699c70",3,2,60,5,2,2,10,"0","0","1",9,"4"
"1","a0a822586",6,2,7,4,1,2,31,"1","0","1",0,"4"
"0","a0a822586",6,2,40,4,1,2,31,"1","0","1",15,"4"
"1","a0a822586",6,2,45,4,1,2,31,"1","0","1",15,"4"
"0","a0a822586",6,2,74,4,1,2,31,"1","0","1",12,"4"
"1","b2ceb3e5c",6,1,57,3,1,3,8,"0","0","1",16,"4"
"0","b2ceb3e5c",6,1,17,3,1,3,8,"0","0","1",10,"4"
"0","b2ceb3e5c",6,1,40,3,1,3,8,"0","0","1",17,"4"
"0","69bfa2895",6,2,41,3,1,3,8,"1","0","1",14,"4"
"1","69bfa2895",6,2,8,3,1,3,8,"1","0","1",1,"4"
"1","69bfa2895",6,2,44,3,1,3,8,"1","0","1",14,"4"
"0","bcc196e5a",7,1,60,3,0,4,30,"1","0","1",13,"4"
"0","bcc196e5a",7,1,29,3,0,4,30,"1","0","1",15,"4"
"1","bcc196e5a",7,1,31,3,0,4,30,"1","0","1",15,"4"
"1","fca2c4361",5,2,42,3,0,3,21,"0","0","1",11,"4"
"1","fca2c4361",5,2,67,3,0,3,21,"0","0","1",6,"4"
"0","fca2c4361",5,2,70,3,0,3,21,"0","1","1",11,"4"
"0","2b1a06ddc",4,1,89,2,0,2,31,"0","0","1",0,"4"
"1","2b1a06ddc",4,1,55,2,0,2,31,"0","0","1",13,"4"
"1","caa343c15",4,3,40,4,2,3,31,"0","0","1",9,"4"
"1","caa343c15",4,3,17,4,2,3,31,"0","0","1",9,"4"
"1","caa343c15",4,3,15,4,2,3,31,"0","0","1",8,"4"
"0","caa343c15",4,3,39,4,2,3,31,"0","0","1",15,"4"
"0","0b7ee52ff",4,0,66,1,0,2,29,"0","0","1",11,"4"
"0","14aeb8605",4,3,35,5,2,2,10,"0","0","1",6,"4"
"1","14aeb8605",4,3,13,5,2,2,10,"0","0","1",6,"4"
"0","14aeb8605",4,3,59,5,2,2,10,"0","0","1",4,"4"
"1","14aeb8605",4,3,4,5,2,2,10,"0","0","1",0,"4"
"1","14aeb8605",4,3,30,5,2,2,10,"0","0","1",8,"4"
"0","07a5de1ba",3,1,38,3,2,1,21,"0","0","1",8,"4"
"1","07a5de1ba",3,1,15,3,2,1,21,"0","0","1",7,"4"
"0","07a5de1ba",3,1,17,3,2,1,21,"0","0","1",9,"4"
"1","5e72b4b07",6,2,46,3,1,3,8,"1","0","1",11,"4"
"0","5e72b4b07",6,2,43,3,1,3,8,"1","0","1",17,"4"
"1","5e72b4b07",6,2,10,3,1,3,8,"1","0","1",3,"4"
"1","288b0f0fa",4,2,11,3,1,2,8,"0","0","1",4,"4"
"1","288b0f0fa",4,2,22,3,1,2,8,"0","0","1",11,"4"
"0","288b0f0fa",4,2,44,3,1,2,8,"0","0","1",11,"4"
"0","ed19e63e8",5,0,79,1,0,3,29,"0","0","1",6,"4"
"1","bb809b379",6,1,75,1,0,4,29,"0","0","1",4,"4"
"0","f954c1672",5,1,78,2,0,3,31,"0","0","1",4,"4"
"1","f954c1672",5,1,53,2,0,3,31,"0","0","1",8,"4"
"0","c179fa326",5,3,18,6,2,3,31,"0","0","1",7,"4"
"1","c179fa326",5,3,67,6,2,3,31,"0","0","1",14,"4"
"1","c179fa326",5,3,44,6,2,3,31,"0","0","1",6,"4"
"0","c179fa326",5,3,63,6,2,3,31,"0","0","1",8,"4"
"0","c179fa326",5,3,20,6,2,3,31,"0","0","1",11,"4"
"1","c179fa326",5,3,1,6,2,3,31,"0","0","1",0,"4"
"0","ac94e73e6",7,1,51,4,1,4,6,"0","0","1",11,"4"
"0","ac94e73e6",7,1,13,4,1,4,6,"0","0","1",6,"4"
"1","ac94e73e6",7,1,55,4,1,4,6,"0","0","1",15,"4"
"0","ac94e73e6",7,1,29,4,1,4,6,"0","0","1",13,"4"
"0","d9e9b591a",5,1,21,5,0,3,4,"0","0","1",14,"2"
"1","d9e9b591a",5,1,47,5,0,3,4,"0","0","1",8,"2"
"0","d9e9b591a",5,1,49,5,0,3,4,"0","0","1",9,"2"
"0","d9e9b591a",5,1,68,5,0,3,4,"0","0","1",0,"2"
"0","d9e9b591a",5,1,21,5,0,3,4,"0","0","1",14,"2"
"1","52123171a",7,2,42,4,0,4,24,"0","0","1",17,"4"
"0","52123171a",7,2,73,4,0,4,24,"0","0","1",11,"4"
"1","52123171a",7,2,75,4,0,4,24,"0","1","1",17,"4"
"0","52123171a",7,2,97,4,0,4,24,"0","1","1",6,"4"
"1","81cfc3f8c",5,3,7,4,2,3,31,"0","0","1",1,"4"
"0","81cfc3f8c",5,3,33,4,2,3,31,"0","0","1",9,"4"
"1","81cfc3f8c",5,3,34,4,2,3,31,"0","0","1",10,"4"
"1","81cfc3f8c",5,3,13,4,2,3,31,"0","0","1",6,"4"
"0","2d9be16e2",6,1,70,2,0,3,29,"1","0","1",14,"4"
"1","2d9be16e2",6,1,72,2,0,3,29,"1","0","1",11,"4"
"1","d8df976c0",6,3,6,4,2,3,31,"1","0","1",0,"4"
"1","d8df976c0",6,3,38,4,2,3,31,"1","0","1",12,"4"
"1","d8df976c0",6,3,5,4,2,3,31,"1","0","1",0,"4"
"0","d8df976c0",6,3,42,4,2,3,31,"1","0","1",15,"4"
"1","51f90290c",5,1,10,2,1,3,31,"0","0","1",3,"3"
"0","51f90290c",5,1,49,2,1,3,31,"0","0","1",7,"3"
"0","a0dfd005d",1,1,58,2,0,1,30,"0","0","1",6,"4"
"1","a0dfd005d",1,1,49,2,0,1,30,"0","0","1",5,"4"
"1","63f11d6ea",3,8,18,10,1,2,4,"0","0","1",6,"4"
"1","63f11d6ea",3,8,52,10,1,2,4,"0","0","1",6,"4"
"1","63f11d6ea",3,8,72,10,1,2,4,"0","0","1",3,"4"
"1","63f11d6ea",3,8,24,10,1,2,4,"0","0","1",8,"4"
"1","63f11d6ea",3,8,27,10,1,2,4,"0","0","1",13,"4"
"1","63f11d6ea",3,8,45,10,1,2,4,"0","0","1",6,"4"
"1","63f11d6ea",3,8,28,10,1,2,4,"0","0","1",11,"4"
"1","63f11d6ea",3,8,22,10,1,2,4,"0","0","1",8,"4"
"0","63f11d6ea",3,8,20,10,1,2,4,"0","0","1",4,"4"
"0","63f11d6ea",3,8,49,10,1,2,4,"0","0","1",5,"4"
"0","347058ce6",5,2,3,5,3,3,18,"0","0","1",0,"1"
"1","347058ce6",5,2,2,5,3,3,18,"0","1","1",0,"1"
"0","347058ce6",5,2,6,5,3,3,18,"0","0","1",0,"1"
"1","347058ce6",5,2,27,5,3,3,18,"0","0","1",8,"1"
"0","347058ce6",5,2,29,5,3,3,18,"0","0","1",11,"1"
"0","28ec0c747",7,2,5,7,1,5,7,"0","0","1",0,"4"
"0","28ec0c747",7,2,28,7,1,5,7,"0","0","1",5,"4"
"0","28ec0c747",7,2,21,7,1,5,7,"0","0","1",12,"4"
"1","28ec0c747",7,2,61,7,1,5,7,"0","0","1",6,"4"
"0","28ec0c747",7,2,94,7,1,5,7,"0","1","1",6,"4"
"1","28ec0c747",7,2,27,7,1,5,7,"0","0","1",11,"4"
"0","28ec0c747",7,2,56,7,1,5,7,"0","0","1",5,"4"
"0","71bec40bc",3,3,6,7,3,2,12,"0","0","1",0,"2"
"1","71bec40bc",3,3,9,7,3,2,12,"0","0","1",1,"2"
"0","71bec40bc",3,3,26,7,3,2,12,"0","0","1",5,"2"
"0","71bec40bc",3,3,47,7,3,2,12,"0","0","1",6,"2"
"0","71bec40bc",3,3,4,7,3,2,12,"0","0","1",0,"2"
"1","71bec40bc",3,3,60,7,3,2,12,"0","0","1",0,"2"
"1","71bec40bc",3,3,25,7,3,2,12,"0","0","1",7,"2"
"0","4b301d9b2",5,1,12,6,2,3,8,"0","0","1",6,"3"
"0","4b301d9b2",5,1,44,6,2,3,8,"0","0","1",7,"3"
"1","4b301d9b2",5,1,0,6,2,3,8,"0","0","1",0,"3"
"0","4b301d9b2",5,1,23,6,2,3,8,"0","0","1",11,"3"
"0","4b301d9b2",5,1,20,6,2,3,8,"0","0","1",11,"3"
"0","4b301d9b2",5,1,25,6,2,3,8,"0","0","1",11,"3"
"1","b5aab6c5e",5,2,27,4,1,2,6,"0","0","1",6,"4"
"1","b5aab6c5e",5,2,20,4,1,2,6,"0","0","1",6,"4"
"0","b5aab6c5e",5,2,19,4,1,2,6,"0","0","1",11,"4"
"0","b5aab6c5e",5,2,53,4,1,2,6,"0","0","1",11,"4"
"1","a4baf0b14",1,1,23,1,0,1,30,"0","0","1",6,"4"
"0","f01ee929b",3,1,40,2,1,2,31,"0","0","1",6,"2"
"1","f01ee929b",3,1,13,2,1,2,31,"0","0","1",3,"2"
"1","322cefd2f",4,5,5,9,5,3,16,"0","0","1",0,"2"
"0","322cefd2f",4,5,47,9,5,3,16,"0","0","1",6,"2"
"1","322cefd2f",4,5,5,9,5,3,16,"0","0","1",0,"2"
"0","322cefd2f",4,5,2,9,5,3,16,"0","0","1",0,"2"
"1","322cefd2f",4,5,16,9,5,3,16,"0","0","1",7,"2"
"1","322cefd2f",4,5,1,9,5,3,16,"0","0","1",0,"2"
"0","322cefd2f",4,5,24,9,5,3,16,"0","0","1",7,"2"
"1","322cefd2f",4,5,52,9,5,3,16,"0","0","1",5,"2"
"0","322cefd2f",4,5,23,9,5,3,16,"0","0","1",7,"2"
"0","f1e36c6f8",4,0,7,4,3,2,24,"0","0","1",0,"2"
"0","f1e36c6f8",4,0,11,4,3,2,24,"0","0","1",4,"2"
"0","f1e36c6f8",4,0,29,4,3,2,24,"0","0","1",6,"2"
"0","f1e36c6f8",4,0,2,4,3,2,24,"0","0","1",0,"2"
"1","e2b6ecbba",4,2,3,3,2,2,21,"0","0","1",0,"1"
"0","e2b6ecbba",4,2,25,3,2,2,21,"0","0","1",10,"1"
"1","e2b6ecbba",4,2,6,3,2,2,21,"0","0","1",0,"1"
"1","9c2388963",7,1,70,1,0,4,29,"0","0","1",16,"4"
"1","9d5fdd09f",6,2,27,3,0,3,30,"1","0","1",17,"4"
"1","9d5fdd09f",6,2,53,3,0,3,30,"1","0","1",14,"4"
"0","9d5fdd09f",6,2,54,3,0,3,30,"1","0","1",14,"4"
"0","1ea163834",8,2,2,4,2,4,31,"0","0","1",0,"4"
"1","1ea163834",8,2,33,4,2,4,31,"0","0","1",15,"4"
"0","1ea163834",8,2,33,4,2,4,31,"0","0","1",17,"4"
"1","1ea163834",8,2,4,4,2,4,31,"0","0","1",0,"4"
"1","9106fd2ee",7,1,46,3,1,4,8,"0","0","1",21,"4"
"0","9106fd2ee",7,1,3,3,1,4,8,"0","0","1",0,"4"
"0","9106fd2ee",7,1,32,3,1,4,8,"0","0","1",17,"4"
"1","d4b71e99f",7,1,66,2,0,4,31,"0","0","1",14,"4"
"0","d4b71e99f",7,1,62,2,0,4,31,"0","0","1",6,"4"
"1","e45f99999",5,2,65,2,0,3,31,"0","0","1",4,"2"
"1","e45f99999",5,2,49,2,0,3,31,"0","0","1",6,"2"
"0","aa3814397",5,2,53,3,0,3,30,"0","0","1",15,"4"
"1","aa3814397",5,2,61,3,0,3,30,"0","0","1",16,"4"
"1","aa3814397",5,2,20,3,0,3,30,"0","0","1",12,"4"
"1","5ae10ba01",7,3,33,4,0,4,31,"1","0","1",14,"4"
"1","5ae10ba01",7,3,77,4,0,4,31,"1","0","1",11,"4"
"1","5ae10ba01",7,3,44,4,0,4,31,"1","0","1",15,"4"
"0","5ae10ba01",7,3,68,4,0,4,31,"1","0","1",9,"4"
"0","4ea540ed6",6,0,20,2,0,3,30,"0","0","1",13,"4"
"0","4ea540ed6",6,0,23,2,0,3,30,"0","0","1",15,"4"
"0","6900c4bc1",6,2,81,3,0,3,21,"0","0","1",11,"4"
"1","6900c4bc1",6,2,38,3,0,3,21,"0","0","1",0,"4"
"1","6900c4bc1",6,2,70,3,0,3,21,"0","0","1",6,"4"
"0","76370c62a",6,0,22,1,0,4,30,"0","0","1",14,"4"
"0","72442f7fc",6,0,23,1,0,4,30,"0","0","1",14,"4"
"1","15e096859",6,1,22,1,0,4,30,"0","0","1",14,"4"
"0","cad4908f4",4,0,46,1,0,1,30,"0","0","1",17,"4"
"0","d411f898f",8,0,30,1,0,3,30,"0","0","1",15,"4"
"0","1f9cdfd87",7,2,62,3,0,4,30,"0","0","1",9,"4"
"1","1f9cdfd87",7,2,62,3,0,4,30,"0","0","1",6,"4"
"1","1f9cdfd87",7,2,33,3,0,4,30,"0","0","1",14,"4"
"0","6f832e4df",6,0,88,1,0,2,29,"0","0","1",8,"1"
"0","3ab475993",8,1,61,2,0,4,30,"1","0","1",13,"4"
"1","3ab475993",8,1,40,2,0,4,30,"1","0","1",13,"4"
"1","f39a29177",4,4,16,5,3,2,18,"0","0","1",6,"4"
"1","f39a29177",4,4,7,5,3,2,18,"0","0","1",0,"4"
"1","f39a29177",4,4,11,5,3,2,18,"0","0","1",2,"4"
"0","f39a29177",4,4,39,5,3,2,18,"0","0","1",4,"4"
"1","f39a29177",4,4,44,5,3,2,18,"0","0","1",6,"4"
"0","ece1115ac",3,1,65,2,0,1,31,"0","1","1",3,"4"
"1","ece1115ac",3,1,40,2,0,1,31,"0","0","1",6,"4"
"0","fabb02be9",4,2,45,3,0,2,30,"0","1","1",0,"4"
"1","fabb02be9",4,2,59,3,0,2,30,"0","0","1",6,"4"
"1","fabb02be9",4,2,42,3,0,2,30,"0","0","1",0,"4"
"0","f9480a013",4,0,78,1,0,2,29,"0","0","1",7,"3"
"1","0f87a987f",5,2,40,4,2,2,31,"0","0","1",9,"4"
"1","0f87a987f",5,2,13,4,2,2,31,"0","0","1",6,"4"
"0","0f87a987f",5,2,3,4,2,2,31,"0","0","1",0,"4"
"0","0f87a987f",5,2,30,4,2,2,31,"0","0","1",6,"4"
"1","bbd43bd99",6,1,55,3,1,3,8,"1","1","1",8,"4"
"0","bbd43bd99",6,1,55,3,1,3,8,"1","0","1",8,"4"
"0","bbd43bd99",6,1,14,3,1,3,8,"1","0","1",7,"4"
"0","970027381",6,2,10,6,3,3,21,"0","0","1",3,"4"
"0","970027381",6,2,19,6,3,3,21,"0","0","1",11,"4"
"1","970027381",6,2,8,6,3,3,21,"0","0","1",1,"4"
"1","970027381",6,2,69,6,3,3,21,"0","0","1",11,"4"
"0","970027381",6,2,64,6,3,3,21,"0","0","1",6,"4"
"0","970027381",6,2,40,6,3,3,21,"0","0","1",11,"4"
"1","8ec412b0a",4,2,37,4,1,2,6,"0","0","1",9,"4"
"0","8ec412b0a",4,2,23,4,1,2,6,"0","0","1",10,"4"
"0","8ec412b0a",4,2,5,4,1,2,6,"0","0","1",0,"4"
"1","8ec412b0a",4,2,58,4,1,2,6,"0","0","1",9,"4"
"1","159ea258f",7,2,25,4,0,4,30,"1","0","1",13,"4"
"1","159ea258f",7,2,61,4,0,4,30,"1","0","1",11,"4"
"0","159ea258f",7,2,22,4,0,4,30,"1","0","1",11,"4"
"0","159ea258f",7,2,60,4,0,4,30,"1","0","1",11,"4"
"1","bdd842cfd",10,2,19,6,2,6,8,"1","0","1",11,"4"
"0","bdd842cfd",10,2,32,6,2,6,8,"1","0","1",11,"4"
"0","bdd842cfd",10,2,53,6,2,6,8,"1","0","1",17,"4"
"0","bdd842cfd",10,2,22,6,2,6,8,"1","0","1",14,"4"
"1","bdd842cfd",10,2,32,6,2,6,8,"1","0","1",15,"4"
"0","bdd842cfd",10,2,11,6,2,6,8,"1","0","1",5,"4"
"0","0473832dd",5,1,10,4,2,3,31,"0","1","1",3,"4"
"0","0473832dd",5,1,19,4,2,3,31,"0","0","1",7,"4"
"1","0473832dd",5,1,45,4,2,3,31,"0","0","1",9,"4"
"0","0473832dd",5,1,40,4,2,3,31,"0","0","1",5,"4"
"0","4b6077882",3,0,22,3,2,1,21,"0","0","1",5,"1"
"0","4b6077882",3,0,7,3,2,1,21,"0","0","1",1,"2"
"0","4b6077882",3,0,2,3,2,1,21,"0","0","1",0,"2"
"0","6833ac5dc",3,2,18,6,4,2,21,"0","0","1",8,"2"
"0","6833ac5dc",3,2,1,6,4,2,21,"0","0","1",0,"2"
"1","6833ac5dc",3,2,30,6,4,2,21,"0","0","1",6,"2"
"0","6833ac5dc",3,2,36,6,4,2,21,"0","0","1",7,"2"
"1","6833ac5dc",3,2,18,6,4,2,21,"0","0","1",6,"2"
"0","6833ac5dc",3,2,16,6,4,2,21,"0","0","1",9,"1"
"0","35c040720",7,3,53,6,1,3,2,"0","0","1",8,"4"
"1","35c040720",7,3,30,6,1,3,2,"0","0","1",6,"4"
"0","35c040720",7,3,33,6,1,3,2,"0","0","1",12,"4"
"1","35c040720",7,3,53,6,1,3,2,"0","0","1",10,"4"
"1","35c040720",7,3,14,6,1,3,2,"0","0","1",7,"4"
"0","35c040720",7,3,32,6,1,3,2,"0","0","1",21,"4"
"0","b9207c3a3",4,1,20,5,1,2,4,"0","0","1",14,"4"
"0","b9207c3a3",4,1,22,5,1,2,4,"0","0","1",11,"4"
"0","b9207c3a3",4,1,17,5,1,2,4,"0","0","1",10,"4"
"1","b9207c3a3",4,1,53,5,1,2,4,"0","0","1",11,"4"
"0","b9207c3a3",4,1,49,5,1,2,4,"0","0","1",11,"4"
"0","b7e6198b0",6,2,66,3,0,3,8,"0","1","1",6,"4"
"1","b7e6198b0",6,2,37,3,0,3,8,"0","1","1",11,"4"
"1","b7e6198b0",6,2,24,3,0,3,8,"0","0","1",11,"4"
"1","252a57c2d",5,2,7,4,1,3,6,"0","0","1",0,"4"
"0","252a57c2d",5,2,55,4,1,3,6,"0","0","1",11,"4"
"1","252a57c2d",5,2,40,4,1,3,6,"0","0","1",3,"4"
"0","252a57c2d",5,2,31,4,1,3,6,"0","0","1",6,"4"
"1","cd8ba4e90",4,2,23,3,0,2,30,"1","0","1",9,"4"
"1","cd8ba4e90",4,2,59,3,0,2,30,"1","1","1",6,"4"
"0","cd8ba4e90",4,2,48,3,0,2,30,"1","0","1",9,"4"
"0","575416e27",4,2,15,4,3,2,24,"0","0","1",6,"2"
"1","575416e27",4,2,18,4,3,2,24,"0","0","1",9,"2"
"0","575416e27",4,2,39,4,3,2,24,"0","0","1",7,"2"
"1","575416e27",4,2,10,4,3,2,24,"0","0","1",2,"2"
"0","ef0e2156b",5,1,57,2,1,3,31,"0","0","1",7,"4"
"1","ef0e2156b",5,1,17,2,1,3,31,"0","0","1",6,"4"
"0","43b9c83e5",6,1,2,6,4,3,21,"0","0","1",0,"2"
"1","43b9c83e5",6,1,17,6,4,3,21,"0","0","1",7,"2"
"0","43b9c83e5",6,1,15,6,4,3,21,"0","0","1",6,"2"
"0","43b9c83e5",6,1,39,6,4,3,21,"0","0","1",6,"2"
"0","43b9c83e5",6,1,30,6,4,3,21,"0","0","1",6,"1"
"0","43b9c83e5",6,1,0,6,4,3,21,"0","0","1",0,"2"
"0","c60226aa6",6,1,38,3,2,4,21,"0","0","1",5,"4"
"1","c60226aa6",6,1,18,3,2,4,21,"0","0","1",6,"4"
"0","c60226aa6",6,1,13,3,2,4,21,"0","0","1",5,"4"
"0","ad99429f5",5,1,28,3,0,3,30,"0","0","1",11,"4"
"0","ad99429f5",5,1,51,3,0,3,30,"0","0","1",3,"4"
"1","ad99429f5",5,1,28,3,0,3,30,"0","0","1",7,"4"
"0","67470962b",6,1,10,4,2,3,31,"0","0","1",2,"4"
